NAME,GEOID,minx,miny,maxx,maxy
Abingdon,1700113,-90.414639,40.791531,-90.385946,40.816236
Adair,1700178,-90.505874,40.412235,-90.49121,40.424295
Adams,1700191,-91.213516,39.859836,-91.185017,39.885834
Addieville,1700230,-89.495755,38.383677,-89.477149,38.399729
Addison,1700243,-88.05218,41.904996,-87.959657,41.957445
Adeline,1700295,-89.496942,42.135841,-89.486918,42.144682
Albany,1700516,-90.234601,41.779204,-90.200315,41.795074
Albers,1700555,-89.640039,38.531719,-89.602666,38.552384
Albion,1700568,-88.080167,38.360519,-88.028816,38.393473
Alden,1700594,-88.523226,42.45511,-88.513467,42.462306
Aledo,1700646,-90.761953,41.185186,-90.71822,41.214498
Alexander,1700659,-90.051704,39.71414,-90.02235,39.730959
Alexis,1700672,-90.563305,41.057105,-90.546781,41.068328
Algonquin,1700685,-88.383651,42.132401,-88.257476,42.193731
Alhambra,1700737,-89.749751,38.880932,-89.723495,38.891964
Allendale,1700815,-87.716023,38.523825,-87.703439,38.531301
Allenville,1700867,-88.547199,39.552477,-88.52811,39.564363
Allerton,1700880,-87.947533,39.906678,-87.928033,39.923397
Alma,1700919,-88.921736,38.71508,-88.901738,38.730622
Alpha,1700971,-90.38628,41.184759,-90.375128,41.201216
Alsey,1700997,-90.439758,39.553721,-90.425765,39.564909
Alsip,1701010,-87.778572,41.651704,-87.694909,41.690891
Altamont,1701049,-88.75745,39.036438,-88.733934,39.072303
Alto Pass,1701205,-89.334946,37.561702,-89.304901,37.583827
Alton,1701114,-90.209312,38.8628,-90.088186,38.948697
Altona,1701140,-90.173813,41.107014,-90.15419,41.123053
Alvan (Alvin),1701242,-87.614799,40.300247,-87.597198,40.314751
Amboy,1701270,-89.421265,41.701867,-89.314099,41.757939
Anchor,1701361,-88.544878,40.565791,-88.53344,40.573038
Andalusia,1701426,-90.737998,41.430269,-90.696081,41.446553
Andover,1701491,-90.300377,41.287602,-90.28116,41.302398
Andres,1701517,-87.885073,41.367337,-87.877706,41.376139
Anna,1701543,-89.261321,37.445456,-89.207438,37.475962
Annapolis,1701556,-87.821634,39.13726,-87.810907,39.148478
Annawan,1701569,-89.915899,41.384598,-89.848238,41.410423
Antioch,1701595,-88.128599,42.446679,-87.991626,42.495637
Apple Canyon Lake,1701647,-90.18572,42.404577,-90.14284,42.452867
Apple River,1701673,-90.104071,42.495763,-90.08532,42.508295
Arbury Hills,1701803,-87.850374,41.532146,-87.840568,41.539512
Arcola,1701881,-88.320815,39.673574,-88.283587,39.695372
Arenzville,1701946,-90.380107,39.87488,-90.358759,39.88607
Argenta,1701972,-88.832091,39.976077,-88.805528,39.992448
Argyle,1702050,-88.950862,42.348304,-88.930034,42.363008
Arlington,1702102,-89.258053,41.466227,-89.23941,41.478535
Arlington Heights,1702154,-88.026753,42.033157,-87.944761,42.153663
Armington,1702206,-89.32116,40.334811,-89.305663,40.343366
Aroma Park,1702258,-87.825202,41.062987,-87.772686,41.099122
Arrowsmith,1702342,-88.636447,40.445497,-88.627343,40.453031
Arthur,1702414,-88.491373,39.704765,-88.451737,39.729168
Ashkum,1702479,-87.967313,40.869558,-87.942309,40.884977
Ashland,1702505,-90.01788,39.88134,-89.994476,39.894642
