zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,isShowcaseListing,has_heating,has_cooling,year_built,list_price,sold_price,price_change,list_date,sold_date,time_on_market
76980139,1014 Laesch Ave,61704,Bloomington,IL,40.453114,-89.00854,175670,1765008000000,2,4,1988,SINGLE_FAMILY,RECENTLY_SOLD,1,False,False,184100,2201,{},False,False,RECENTLY_SOLD,175670,108913000,True,False,False,USD,USA,162900,False,True,True,1982,240000,175670,-64330,2025-09-11 00:00:00,2025-12-06 00:00:00,86
3201638,13 Willow St,61840,Dewey,IL,40.306423,-88.31252,136000,1764921600000,1,2,1147,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,143100,1081,{},False,False,RECENTLY_SOLD,136000,195313000,True,False,False,USD,USA,82320,False,True,True,1890,145000,136000,-9000,2025-10-20 00:00:00,2025-12-05 00:00:00,46
3219894,1305 N Walnut St,61820,Champaign,IL,40.129013,-88.24146,147500,1764921600000,2,4,1500,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,144600,1561,{},False,False,RECENTLY_SOLD,147500,195313000,True,False,False,USD,USA,52830,False,True,True,1915,150000,147500,-2500,2025-08-18 00:00:00,2025-12-05 00:00:00,109
3234675,3104 Countrybend Ln,61821,Champaign,IL,40.080147,-88.29753,390000,1764921600000,3,4,2692,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,403900,3222,{},False,False,RECENTLY_SOLD,390000,195313000,True,False,False,USD,USA,393720,False,True,True,1999,420000,390000,-30000,2025-10-11 00:00:00,2025-12-05 00:00:00,55
3237129,606 S Cottage Grove Ave,61802,Urbana,IL,40.108063,-88.19538,160000,1764921600000,1,3,1032,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,174400,1229,{},False,False,RECENTLY_SOLD,160000,195313000,True,False,False,USD,USA,141060,False,True,True,1907,170000,160000,-10000,2025-10-22 00:00:00,2025-12-05 00:00:00,44
3244722,2 Tricia Ln,60010,Barrington,IL,42.100475,-88.19156,2237500,1764921600000,9,7,15000,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,2104700,4817,{},False,False,RECENTLY_SOLD,2237500,195313000,True,False,False,USD,USA,2130000,False,True,True,2010,2275000,2237500,-37500,2025-07-18 00:00:00,2025-12-05 00:00:00,140
3246170,59 Watergate Dr,60010,South Barrington,IL,42.08993,-88.164375,779000,1764921600000,3,4,2921,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,769000,4204,{},False,False,RECENTLY_SOLD,779000,195313000,True,False,False,USD,USA,629990,False,True,True,1975,779000,779000,0,2025-10-23 00:00:00,2025-12-05 00:00:00,43
3251887,924 Stonefield Cir,60067,Inverness,IL,42.127254,-88.10066,900000,1764921600000,5,5,3792,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,905700,4732,{},False,False,RECENTLY_SOLD,900000,195313000,True,False,False,USD,USA,579990,False,True,True,1979,774900,900000,125100,2014-09-20 00:00:00,2025-12-05 00:00:00,4094
3271703,2600 Brookwood Way Dr APT 212,60008,Rolling Meadows,IL,42.08215,-88.03317,169000,1764921600000,1,1,861,CONDO,RECENTLY_SOLD,2,False,False,166400,1788,{},False,False,RECENTLY_SOLD,169000,195313000,True,False,False,USD,USA,86770,False,True,True,1973,169000,169000,0,2025-11-21 00:00:00,2025-12-05 00:00:00,14
3278952,3805 Wren Ln,60008,Rolling Meadows,IL,42.069557,-88.00957,330000,1764921600000,2,4,1800,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,352600,3044,{},False,False,RECENTLY_SOLD,330000,195313000,True,False,False,USD,USA,279990,False,True,True,1956,359000,330000,-29000,2025-10-15 00:00:00,2025-12-05 00:00:00,51
3286537,1640 W Partridge Ln UNIT 7,60004,Arlington Heights,IL,42.15145,-88.00241,315000,1764921600000,2,3,1500,TOWNHOUSE,RECENTLY_SOLD,2,False,False,330900,2399,{},False,False,RECENTLY_SOLD,315000,195313000,True,False,False,USD,USA,191890,False,True,True,1987,329000,315000,-14000,2025-11-12 00:00:00,2025-12-05 00:00:00,23
3295666,450 Plum Creek Dr APT 410,60090,Wheeling,IL,42.12635,-87.905464,218000,1764921600000,2,2,1296,CONDO,RECENTLY_SOLD,2,False,False,215100,1940,{},False,False,RECENTLY_SOLD,218000,195313000,True,False,False,USD,USA,127660,False,True,True,1979,218000,218000,0,2025-11-04 00:00:00,2025-12-05 00:00:00,31
3306835,505 N Maple St,60070,Prospect Heights,IL,42.10515,-87.933846,531000,1764921600000,2,3,2100,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,479600,2863,{},False,False,RECENTLY_SOLD,531000,195313000,True,False,False,USD,USA,370000,False,True,True,1955,469000,531000,62000,2025-10-22 00:00:00,2025-12-05 00:00:00,44
3314605,1136 N Boxwood Dr,60056,Mount Prospect,IL,42.085266,-87.929565,270000,1764921600000,2,3,1179,TOWNHOUSE,RECENTLY_SOLD,2,False,False,,2369,{},False,False,RECENTLY_SOLD,270000,195313000,True,False,False,USD,USA,170000,False,True,True,1969,279900,270000,-9900,2025-10-28 00:00:00,2025-12-05 00:00:00,38
3321902,105 S Vail Ave,60005,Arlington Heights,IL,42.080864,-87.98385,700000,1764921600000,2,3,2368,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,693500,3304,{},False,False,RECENTLY_SOLD,700000,195313000,True,False,False,USD,USA,520000,False,True,True,1901,900000,700000,-200000,2025-09-23 00:00:00,2025-12-05 00:00:00,73
3351025,4146 Cove Ln APT D,60025,Glenview,IL,42.071533,-87.8583,287000,1764921600000,2,3,1314,CONDO,RECENTLY_SOLD,2,False,False,286600,2348,{},False,False,RECENTLY_SOLD,287000,195313000,True,False,False,USD,USA,187690,False,True,True,1980,289900,287000,-2900,2025-10-15 00:00:00,2025-12-05 00:00:00,51
3355226,1154 Vernon Dr,60025,Glenview,IL,42.07573,-87.79782,875000,1764921600000,2,4,2074,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,862900,3833,{},False,False,RECENTLY_SOLD,875000,195313000,True,False,False,USD,USA,590000,False,True,True,1949,849000,875000,26000,2025-10-16 00:00:00,2025-12-05 00:00:00,50
3365394,711 Brier St,60043,Kenilworth,IL,42.09172,-87.72272,1555000,1764921600000,3,4,0,SINGLE_FAMILY,RECENTLY_SOLD,2,False,False,1613900,4183,{},False,False,RECENTLY_SOLD,1555000,195313000,True,False,False,USD,USA,940390,False,True,True,1929,1599000,1555000,-44000,2025-08-20 00:00:00,2025-12-05 00:00:00,107
